04/12/22 1:35:14: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 934, at column 0
04/12/22 1:35:38: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 934, at column 0
04/12/22 4:37:00: style.scss - Undefined mixin mobile: style.scss on line 334, at column 4
04/13/22 5:27:03: style.scss - Undefined mixin foe-laptop: style.scss on line 928, at column 4
04/15/22 11:38:37: style.scss - parse error: failed at `font-size` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 1139, at column 4
04/15/22 11:39:43: style.scss - parse error: failed at `align-content}` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 1140, at column 32
04/15/22 11:39:44: style.scss - parse error: failed at `align-content}` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 1140, at column 32
04/15/22 12:03:03: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
04/15/22 12:03:13: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
04/15/22 12:03:18: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
04/15/22 12:03:41: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
04/15/22 12:03:42: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
04/15/22 12:03:50: style.scss - unexpected }: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 408, at column 0
